CTUID,DGUID,CTNAME,LANDAREA,PRUID,how_many,X_id,AREA_ID,AREA_ATTR_ID,PARENT_AREA_ID,AREA_SHORT_CODE,AREA_LONG_CODE,AREA_NAME,AREA_DESC,CLASSIFICATION,CLASSIFICATION_CODE,OBJECTID
"5350128.04",2021S05075350128.04,"0128.04",0.162,"35",7,1,2502366,26022881,,"174","174",South Eglinton-Davisville,South Eglinton-Davisville (174),Not an NIA or Emerging Neighbourhood,NA,17824737
"5350128.04",2021S05075350128.04,"0128.04",0.162,"35",7,59,2502308,26022823,,"099","099",Mount Pleasant East,Mount Pleasant East (99),Not an NIA or Emerging Neighbourhood,NA,17825665
"5350363.06",2021S05075350363.06,"0363.06",0.821,"35",19,21,2502346,26022861,,"142","142",Woburn North,Woburn North (142),Neighbourhood Improvement Area,NIA,17825057
"5350363.07",2021S05075350363.07,"0363.07",2.2422,"35",33,21,2502346,26022861,,"142","142",Woburn North,Woburn North (142),Neighbourhood Improvement Area,NIA,17825057
"5350363.07",2021S05075350363.07,"0363.07",2.2422,"35",33,22,2502345,26022860,,"141","141",Golfdale-Cedarbrae-Woburn,Golfdale-Cedarbrae-Woburn (141),Neighbourhood Improvement Area,NIA,17825073
"5350363.07",2021S05075350363.07,"0363.07",2.2422,"35",33,27,2502340,26022855,,"135","135",Morningside,Morningside (135),Neighbourhood Improvement Area,NIA,17825153
"5350363.07",2021S05075350363.07,"0363.07",2.2422,"35",33,32,2502335,26022850,,"128","128",Agincourt South-Malvern West,Agincourt South-Malvern West (128),Not an NIA or Emerging Neighbourhood,NA,17825233
"5350378.23",2021S05075350378.23,"0378.23",1.5314,"35",19,31,2502336,26022851,,"129","129",Agincourt North,Agincourt North (129),Not an NIA or Emerging Neighbourhood,NA,17825217
"5350378.23",2021S05075350378.23,"0378.23",1.5314,"35",19,32,2502335,26022850,,"128","128",Agincourt South-Malvern West,Agincourt South-Malvern West (128),Not an NIA or Emerging Neighbourhood,NA,17825233
"5350378.24",2021S05075350378.24,"0378.24",2.5129,"35",20,18,2502349,26022864,,"145","145",Malvern West,Malvern West (145),Emerging Neighbourhood,EN,17825009
"5350378.24",2021S05075350378.24,"0378.24",2.5129,"35",20,19,2502348,26022863,,"144","144",Morningside Heights,Morningside Heights (144),Not an NIA or Emerging Neighbourhood,NA,17825025
"5350378.24",2021S05075350378.24,"0378.24",2.5129,"35",20,30,2502337,26022852,,"130","130",Milliken,Milliken (130),Not an NIA or Emerging Neighbourhood,NA,17825201
"5350378.24",2021S05075350378.24,"0378.24",2.5129,"35",20,31,2502336,26022851,,"129","129",Agincourt North,Agincourt North (129),Not an NIA or Emerging Neighbourhood,NA,17825217
"5350378.24",2021S05075350378.24,"0378.24",2.5129,"35",20,32,2502335,26022850,,"128","128",Agincourt South-Malvern West,Agincourt South-Malvern West (128),Not an NIA or Emerging Neighbourhood,NA,17825233
"5350010.01",2021S05075350010.01,"0010.01",0.2476,"35",17,44,2502323,26022838,,"162","162",West Queen West,West Queen West (162),Not an NIA or Emerging Neighbourhood,NA,17825425
"5350010.01",2021S05075350010.01,"0010.01",0.2476,"35",17,104,2502263,26022778,,"084","084",Little Portugal,Little Portugal (84),Not an NIA or Emerging Neighbourhood,NA,17826385
"5350010.02",2021S05075350010.02,"0010.02",0.5382,"35",33,41,2502326,26022841,,"165","165",Harbourfront-CityPlace,Harbourfront-CityPlace (165),Not an NIA or Emerging Neighbourhood,NA,17825377
"5350010.02",2021S05075350010.02,"0010.02",0.5382,"35",33,42,2502325,26022840,,"164","164",Wellington Place,Wellington Place (164),Not an NIA or Emerging Neighbourhood,NA,17825393
"5350010.02",2021S05075350010.02,"0010.02",0.5382,"35",33,44,2502323,26022838,,"162","162",West Queen West,West Queen West (162),Not an NIA or Emerging Neighbourhood,NA,17825425
"5350001.00",2021S05075350001.00,"0001.00",6.8192,"35",24,40,2502327,26022842,,"166","166",St Lawrence-East Bayfront-The Islands,St Lawrence-East Bayfront-The Islands (166),Not an NIA or Emerging Neighbourhood,NA,17825361
"5350001.00",2021S05075350001.00,"0001.00",6.8192,"35",24,86,2502281,26022796,,"070","070",South Riverdale,South Riverdale (70),Not an NIA or Emerging Neighbourhood,NA,17826097
"5350001.00",2021S05075350001.00,"0001.00",6.8192,"35",24,93,2502274,26022789,,"063","063",The Beaches,The Beaches (63),Not an NIA or Emerging Neighbourhood,NA,17826209
"5350002.00",2021S05075350002.00,"0002.00",3.3926,"35",42,40,2502327,26022842,,"166","166",St Lawrence-East Bayfront-The Islands,St Lawrence-East Bayfront-The Islands (166),Not an NIA or Emerging Neighbourhood,NA,17825361
"5350003.00",2021S05075350003.00,"0003.00",0.9455,"35",37,43,2502324,26022839,,"163","163",Fort York-Liberty Village,Fort York-Liberty Village (163),Not an NIA or Emerging Neighbourhood,NA,17825409
"5350003.00",2021S05075350003.00,"0003.00",0.9455,"35",37,45,2502322,26022837,,"161","161",Humber Bay Shores,Humber Bay Shores (161),Not an NIA or Emerging Neighbourhood,NA,17825441
"5350003.00",2021S05075350003.00,"0003.00",0.9455,"35",37,101,2502266,26022781,,"087","087",High Park-Swansea,High Park-Swansea (87),Not an NIA or Emerging Neighbourhood,NA,17826337
"5350003.00",2021S05075350003.00,"0003.00",0.9455,"35",37,103,2502264,26022779,,"085","085",South Parkdale,South Parkdale (85),Neighbourhood Improvement Area,NIA,17826369
"5350004.00",2021S05075350004.00,"0004.00",0.3404,"35",11,101,2502266,26022781,,"087","087",High Park-Swansea,High Park-Swansea (87),Not an NIA or Emerging Neighbourhood,NA,17826337
"5350004.00",2021S05075350004.00,"0004.00",0.3404,"35",11,103,2502264,26022779,,"085","085",South Parkdale,South Parkdale (85),Neighbourhood Improvement Area,NIA,17826369
"5350005.00",2021S05075350005.00,"0005.00",0.3764,"35",17,43,2502324,26022839,,"163","163",Fort York-Liberty Village,Fort York-Liberty Village (163),Not an NIA or Emerging Neighbourhood,NA,17825409
"5350005.00",2021S05075350005.00,"0005.00",0.3764,"35",17,44,2502323,26022838,,"162","162",West Queen West,West Queen West (162),Not an NIA or Emerging Neighbourhood,NA,17825425
"5350005.00",2021S05075350005.00,"0005.00",0.3764,"35",17,103,2502264,26022779,,"085","085",South Parkdale,South Parkdale (85),Neighbourhood Improvement Area,NIA,17826369
"5350005.00",2021S05075350005.00,"0005.00",0.3764,"35",17,104,2502263,26022778,,"084","084",Little Portugal,Little Portugal (84),Not an NIA or Emerging Neighbourhood,NA,17826385
"5350006.00",2021S05075350006.00,"0006.00",0.0129,"35",1,103,2502264,26022779,,"085","085",South Parkdale,South Parkdale (85),Neighbourhood Improvement Area,NIA,17826369
"5350009.00",2021S05075350009.00,"0009.00",0.1032,"35",1,44,2502323,26022838,,"162","162",West Queen West,West Queen West (162),Not an NIA or Emerging Neighbourhood,NA,17825425
